allocation_id,card_id,person_id,data_inicio,data_fim,status,motivo,created_at,created_by
8b079b38-bb71-4b18-9a82-1c719b21d980,ee7a37ac-638b-4ce8-9b85-ae493735f70a,04f098bc-c947-4131-ac00-755fc96f2139,2026-01-28 00:00:00,,ATIVA,"Colaboradora não estava de férias, ficou sem passagem.",2026-01-28T18:37:08.409Z,yasmim.sousa@raizeducacao.com.br
55d7ceff-917e-45fe-b0af-6793886104bc,51fd9c76-cea0-4554-9f14-bf381d29d051,37ca368c-0417-4c19-9b5e-411effc11961,2026-01-30 00:00:00,,ATIVA,"Colaboradora retorno de licença maternidade, quando realizamos a compra mensal a colaboradora constava com afastada no RM, realizamos o pedido complementar referente a recarga mensal, e enquanto a recarga não seja efetivada, realizamos o empréstimo do cartão provisório.",2026-01-31T14:03:17.235Z,natalia.lima@raizeducacao.com.br
8fa61774-9217-4a6b-a455-b1438abbbed2,ccf15466-6eb3-4d6d-aa87-599d7f5924cd,f8cea6a5-5a35-4420-a0c5-06f6a0958662,2026-02-04 00:00:00,,ATIVA,"Colaborador mudou de endereço e passará a utilizar ônibus intermunicipal, e conforme autorização da Lorenna, será emprestado cartão provisório RioCard para o colaborador e solicitar que abra um ticket solicitando alteração para a recarga mensal de Março.",2026-02-04T11:48:55.028Z,natalia.lima@raizeducacao.com.br
c05bcb35-6728-4285-a4e4-07c23c76cbcd,7963e52a-e7d7-461f-907d-bd09f2a412ad,7411cf17-f622-405f-bcad-cc2fd3675935,2026-02-04 00:00:00,,ATIVA,"RM não puxou os valores de vale transporte que constam no cadastro da colaboradora, por esse motivo o pedido mensal não foi realizado para a colaboradora.",2026-02-06T17:30:03.468Z,natalia.lima@raizeducacao.com.br
942b80a9-446b-465f-953c-9b1cfa14e24c,55206475-ed16-4b0a-aeea-0dd773962d2d,5bc0f7fe-10bf-4896-8bf8-2cb989fc9424,2026-02-04 00:00:00,,ATIVA,"RM não puxou os valores de vale transporte que constam no cadastro da colaboradora, por esse motivo o pedido mensal não foi realizado para a colaboradora.",2026-02-06T17:30:54.384Z,natalia.lima@raizeducacao.com.br
0e252bac-c00d-4d32-be92-7a89add55463,9f63fa6c-0c4e-4027-921a-39a20b6b52e5,29dd5b23-8447-4508-8fe7-2acb232059bb,2026-02-10 00:00:00,,ATIVA,,2026-02-10T12:24:41.780Z,yasmim.sousa@raizeducacao.com.br
37d492dc-7ead-47d1-97c4-02f11b865c4d,df1c1a82-acaa-4b4f-968b-11d87c59786b,eb4262c5-fc36-4dc0-af14-ef2b2220ee1c,2026-02-09 00:00:00,,ATIVA,"Cadastro de VT no RM consta com data fim em 31/12/2025, por esse motivo não ocorreu recarga mensal para o colaborador, então foi entregue um cartão provisório para que pudesse utilizar até a recarga seja efetivada no cartão Jaé.",2026-02-10T19:33:13.645Z,natalia.lima@raizeducacao.com.br
e1f22015-5842-4108-83fe-83b7ec9c70a8,2a511bff-b67d-4146-8397-8d3f29945b70,853afad8-362f-4662-97a4-eb6621b70d9e,2026-02-10 00:00:00,,ATIVA,"Colaboradora solicitou segunda via do cartão RioCard quando ainda estava alocada na marca QI, porém, demoramos no retorno, e a colaboradora foi admitida na marca Bom Tempo.",2026-02-13T15:09:00.735Z,natalia.lima@raizeducacao.com.br
6873e872-6ad8-4639-8a91-f995ac567d3d,b29b0909-7734-47eb-887a-4f3a3c6f8ed0,853afad8-362f-4662-97a4-eb6621b70d9e,2026-02-10 00:00:00,,ATIVA,"Colaboradora solicitou segunda via do cartão RioCard quando ainda estava alocada na marca QI, porém, demoramos no retorno, e a colaboradora foi admitida na marca Bom Tempo.",2026-02-13T15:12:22.881Z,natalia.lima@raizeducacao.com.br
5cb8c1c3-13fb-416d-9b69-c536cfe38f4d,65dc72ed-5dd6-4d17-a976-40d1bbc97bfb,62f9bc7b-af1a-4258-9ca4-bed839368844,2026-02-10 00:00:00,,ATIVA,"Recarga estava suspensa devido ao afastamento, como não fomos informadas sobre o retorno do colaborador, não retornamos com a recarga mensal.",2026-02-13T15:17:12.688Z,natalia.lima@raizeducacao.com.br
